Done with node:2, Took 12.318 seconds
Done with node:3, Took 20.158 seconds
Done with node:4, Took 40.093 seconds
Done with node:5, Took 12.730 seconds
Done with node:6, Took 22.809 seconds
Done with node:7, Took 11.720 seconds
Done with node:8, Took 15.225 seconds
Done with node:9, Took 16.690 seconds
Done with node:10, Took 29.452 seconds
Done Arranging Data, Took 0.051 seconds

Done with node:1, Took 11.437 seconds
Done with node:2, Took 13.138 seconds
Done with node:3, Took 20.788 seconds
Done with node:4, Took 43.027 seconds
Done with node:5, Took 13.252 seconds
Done with node:6, Took 31.756 seconds
Done with node:7, Took 14.056 seconds
Done with node:8, Took 16.915 seconds
Done with node:9, Took 16.061 seconds
Done with node:10, Took 28.549 seconds
